job_id,strategy_name,calculated_score,parse_success,llm_judge_score
j01,zero_shot,3/3,True,4/4
j01,few_shot,3/3,True,4/4
j01,structured,2/3,True,3/4
j01,cot,0/3,False,1/4
j02,zero_shot,2/3,True,4/4
j02,few_shot,3/3,True,4/4
j02,structured,2/3,True,4/4
j02,cot,0/3,False,1/4
j03,zero_shot,3/3,True,4/4
j03,few_shot,3/3,True,4/4
j03,structured,3/3,True,4/4
j03,cot,0/3,False,1/4
j04,zero_shot,3/3,True,4/4
j04,few_shot,3/3,True,4/4
j04,structured,3/3,True,4/4
j04,cot,0/3,False,1/4
j05,zero_shot,2/3,True,2/4
j05,few_shot,3/3,True,3/4
j05,structured,3/3,True,3/4
j05,cot,0/3,False,1/4
j06,zero_shot,3/3,True,3/4
j06,few_shot,3/3,True,3/4
j06,structured,2/3,True,3/4
j06,cot,0/3,False,1/4
j07,zero_shot,3/3,True,4/4
j07,few_shot,3/3,True,4/4
j07,structured,3/3,True,4/4
j07,cot,0/3,False,1/4
j08,zero_shot,2/3,True,4/4
j08,few_shot,3/3,True,4/4
j08,structured,2/3,True,4/4
j08,cot,0/3,False,1/4
j09,zero_shot,3/3,True,4/4
j09,few_shot,3/3,True,4/4
j09,structured,2/3,True,3/4
j09,cot,0/3,False,1/4
j10,zero_shot,3/3,True,4/4
j10,few_shot,2/3,True,4/4
j10,structured,2/3,True,3/4
j10,cot,0/3,False,1/4
